Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Averell Maymand,8/10/2012,668-43-2767,92617,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,11,0,0
Mignonne Spurrior,7/18/1960,557-99-3930,55466,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,63,0,2042
Marla Dungey,11/3/1960,216-09-1548,32737,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,63,0,0
Felix Falla,2/22/1960,242-47-2508,58986,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,63,0,0
Kym Jennery,1/24/1989,868-85-7038,91102,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,34,0,0
Letty Marcussen,6/18/1952,338-12-9081,8598,,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,60,South,>50K,71,0,0
Timothea Disman,6/23/1987,288-49-7728,91341,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,36,0,0
Walliw Adcock,6/15/1951,297-29-2796,54807,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,72,0,0
Raul Squire,7/15/1964,813-56-5466,93239,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,59,0,0
Alayne Pedlingham,2/17/1953,288-31-8670,65932,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,70,0,0
Darby Tome,1/9/2009,890-14-4832,9717,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,14,0,1408
Laurena Abrahamsohn,8/11/2006,662-32-0909,20061,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,17,0,0
Pierson Leyrroyd,4/8/1987,132-55-8586,20149,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,36,0,0
Maye Sauter,7/27/1970,258-66-6115,28032,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,53,0,0
Fay Simone,11/2/1993,715-75-9668,41136,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,30,0,0
Florence Tiesman,12/23/1985,862-26-5489,93276,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,38,0,0
Gwenneth Spriggen,12/6/1951,171-82-0984,58492,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,,>50K,72,0,0
Lulita Tschersich,10/25/1954,602-74-4118,14378,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,69,0,0
Constantia Shubotham,10/14/1984,308-62-8879,82327,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,39,0,0
Theo Fearney,1/22/1983,439-28-9935,95683,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,40,0,0
Lulu Scollan,6/12/2003,380-78-1227,18173,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,20,0,0
Dora Richardes,10/2/1953,412-32-2882,75680,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,70,0,0
Abdel Hornbuckle,2/25/2005,352-78-8199,6217,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,18,0,0
Goddard Mattiessen,8/21/1986,272-03-9824,74972,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,37,0,0
Myron Lincey,10/11/1996,115-43-9351,80887,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,27,0,0
Aurthur Bourhill,9/28/1974,609-42-1751,17524,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,49,0,0
Raymund Tournie,4/19/1955,365-66-5026,53662,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,68,0,0
Joseph Kinkade,4/19/1931,365-66-5026,53662,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,93,0,0
Violet Hunter,11/19/2023,365-66-5026,53662,State-gov,Kinder,1,Never-married,Baby,Baby,White,Female,0,United-States,<=50K,1,0,0
Noemi Ruffler,10/19/2011,748-77-7857,56298,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,12,0,0
Rhys Quennell,6/15/1988,177-67-9642,42814,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,35,0,0
Addy Preon,10/11/1961,479-90-2494,61843,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,,<=50K,62,0,0
Regine Hannigane,6/3/1971,534-46-2609,90260,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,52,0,1902
Oralie Keegan,10/5/1999,884-12-2409,74955,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,24,0,0
John Matthias,12/18/1973,492-53-6924,9825,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,50,0,0
Mill Kondratowicz,11/5/2009,465-45-0129,96085,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,14,0,0
Johnath Spada,11/27/1957,528-32-0498,70747,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,66,0,0
Felice Yansons,2/7/1987,233-37-3234,78345,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,36,0,0
Hamish Poyntz,2/16/1956,136-92-3568,49792,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,67,0,0
Ruthie McVittie,12/29/1978,692-85-3206,43800,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,45,5013,0
Mufinella Paddington,3/21/1975,565-95-8300,54588,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,48,2407,0
Catlee Antram,10/14/1972,412-24-3430,21928,,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,40,,<=50K,51,0,0
Rebeka Casali,9/23/1983,789-15-5786,16447,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40,0,0
Laurel Meale,4/12/1970,607-06-4756,28084,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,53,0,0
Cull Condon,8/25/1986,855-03-5568,7741,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,37,0,0
Kincaid Plume,10/13/2003,352-03-1627,34450,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20,0,0
Rolph Khotler,9/8/1954,116-42-9454,63607,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,69,0,0
Bert Baffin,3/26/1952,354-28-4778,57844,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,71,0,0
Estrellita Cranfield,6/29/2003,202-54-6417,15575,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,20,0,0
Christin Pichan,11/15/1970,308-58-7125,99602,,Some-college,10,Never-married,,Own-child,White,Male,40,United-States,<=50K,53,0,0
Brooks Lakes,3/20/1974,348-13-3020,42877,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,49,0,0
Charmane Proffer,3/8/1967,407-21-9891,4228,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,56,0,0
Faythe Toseland,2/26/2007,894-56-3343,59245,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,16,0,0
Daisey O'Shirine,2/16/1960,817-93-8996,36400,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,63,0,0
Rhonda Hartshorn,1/8/1982,137-25-1899,36303,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,41,0,0
Joete MacCosto,6/24/1999,575-55-1718,10728,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,24,0,0
Francisco Blanckley,10/23/1985,401-24-4634,41704,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,38,0,0
Hy Gilliat,1/15/1970,780-08-6368,3864,,10th,6,Married-civ-spouse,,Husband,White,Male,2,United-States,<=50K,53,0,0
Elyssa Lammerich,7/10/1954,193-77-0902,20053,Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,69,0,0
Ginger Freemantle,9/3/2000,806-93-6560,93338,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,23,0,0
Fiann McKie,2/24/1956,260-79-1363,41953,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,67,0,0
Genny Duffan,11/30/2010,721-66-8737,69166,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,13,0,0
Sharona Rotlauf,10/27/2001,260-62-1962,51962,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,22,0,0
Nerissa Grisbrook,10/15/1965,382-89-2144,69786,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,58,0,0
Shep Ottley,1/7/1963,740-10-8618,21742,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,60,14344,0
Hew Benoy,6/16/1980,890-28-6134,78233,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,43,0,0
Wes Pennetti,10/15/1975,152-84-6645,17853,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,48,0,0
Willdon Parradye,2/7/1960,851-67-7774,47070,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,63,0,0
Selina Barkworth,6/2/1961,587-11-3746,22875,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,62,0,0
Sonja Dalliwater,8/1/1965,701-55-6252,87299,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,58,0,0
Beverly Adds,6/20/1968,172-85-0404,25617,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,55,0,0
Wright Jeacop,6/20/2003,791-91-4122,76143,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,20,0,0
Georgi Beamond,10/26/1955,789-47-5235,6503,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,68,0,0
Nicol Raith,11/19/1961,556-55-2624,29246,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,,<=50K,62,0,1573
Isadora Gardener,8/16/1988,667-72-9887,23629,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,35,0,0
Doloritas Bedin,5/24/1984,827-54-2200,89420,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,39,0,0
Jeremy Bloor,2/25/1952,464-47-6045,45761,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,71,0,1902
Manfred McBeith,12/15/1992,689-95-5941,79098,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,31,0,0
Archaimbaud Rymell,2/25/1989,296-78-7145,69695,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,34,0,0
Lurlene Adamczyk,11/2/2010,831-77-2386,7473,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,13,0,0
Hilary Lindback,8/13/1973,632-57-2869,47987,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,50,0,0
Katha Poppy,4/1/1988,804-73-8338,61696,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,35,15024,0
Clerkclaude Son,8/5/1972,421-22-2083,82887,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,51,0,0
Doy Pymer,4/10/1951,525-93-2970,65370,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,72,0,0
Alford Haswell,11/3/1991,580-08-0988,21946,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,32,0,0
Rodd Collelton,9/17/1964,272-48-6416,76195,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,59,7688,0
Janaya Elloit,5/22/2005,296-76-3644,67319,,10th,6,Never-married,,Own-child,White,Female,32,United-States,<=50K,18,34095,0
Gilberta Shilstone,10/21/1976,646-64-7150,43233,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,47,0,0
Dorris Detoc,7/10/1979,717-59-8236,73447,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,44,0,0
Melicent Boeter,4/21/1986,546-39-3020,70647,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,37,0,0
Laurel Conn,10/22/1992,471-93-7307,18243,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,31,0,0
Fanchette Skottle,3/29/1972,820-64-2034,9902,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,51,0,0
Yule Ferrarotti,3/5/1961,446-17-6535,52680,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,62,0,1887
Jeniffer Popple,9/10/1997,277-62-0140,96014,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,26,4064,0
Marven Danihelka,6/8/1954,586-42-6950,66749,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,69,0,0
Caril Peschka,2/13/1954,116-77-0949,92687,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,69,0,0
Koral Tomkin,12/12/1987,844-28-5903,96857,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,36,0,0
Tadd Sancraft,4/5/2010,122-68-7177,21569,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,13,0,0
Benedikta Leipnik,4/9/2005,567-67-3819,34093,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,18,0,0
Kimmy Oganesian,5/27/1964,466-50-8862,70644,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,59,0,0
Goldy Ingamells,4/23/2001,535-66-6978,11223,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,22,0,0
Hunt Salisbury,3/4/1987,755-25-8853,33754,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,36,0,0
Cherice Coweuppe,7/12/1956,548-89-5261,82340,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,67,0,0
Clea Di Francesco,9/27/1960,396-82-2711,99050,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,63,0,0
Kelcey Teese,2/9/1994,288-59-1467,47434,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,29,0,0
Maia Phillip,12/17/1988,506-36-1762,78588,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,35,0,0
Querida Licciardiello,12/3/2001,648-41-9013,69542,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,22,0,1719
Xever Arckoll,3/26/1999,825-87-1242,48024,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,24,0,0
Lucienne Bjerkan,7/22/1983,291-44-4348,90907,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,40,0,0
Anastasie Guilloton,2/24/1984,246-86-9055,8577,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,39,0,0
Jasmin Rudgerd,8/2/1991,234-93-0102,95974,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,32,0,0
Clerkclaude Vowles,1/15/1992,217-25-8863,22052,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,31,0,1762
Madelaine Newlands,6/11/1952,248-93-1603,50463,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,71,4386,0
Cointon McCoveney,1/23/1975,810-83-9788,71660,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,48,0,0
Pate Kissick,7/5/2002,210-72-3881,64400,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,21,0,0
Rosy Jefford,1/14/2008,433-57-3376,75436,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,15,0,0
Joela Geertz,1/3/1980,373-55-1830,86543,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,43,0,0
Adler Croizier,10/23/1978,562-98-2247,66375,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,45,0,0
Malory Gander,1/4/2006,431-13-8838,56405,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,17,0,0
Bondie Gettens,12/2/1957,564-98-6842,97236,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,66,0,0
Rachelle Robardet,5/11/2004,334-24-0668,43448,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,19,0,0
Merle Edmeads,2/24/1967,145-70-0386,7298,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,56,0,0
Roderic Shuttleworth,5/16/1956,788-61-1613,59397,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,67,0,0
Bernadette Tye,7/26/1955,730-37-3808,23904,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,68,0,1564
Boris Aronov,10/21/1977,710-46-3628,86067,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,46,0,0
Philipa Comley,10/16/1999,314-83-4662,54991,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,24,0,0
Ibby McGall,7/16/1969,734-63-7061,38526,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,54,0,0
Wash Gives,8/10/2012,251-65-4668,61491,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,11,0,0
Frank Sugar,1/21/1972,512-89-4375,11420,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,51,0,2179
Munmro Schettini,2/22/1984,417-02-5152,53732,,Some-college,10,Divorced,,Not-in-family,White,Female,40,United-States,<=50K,39,0,0
Kristel Devaney,2/25/1982,837-75-6896,72739,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,41,0,0
Ashly Scoggans,1/12/2007,160-36-7357,58301,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,16,0,0
Ardyth Danniel,3/12/2003,425-52-3206,53222,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,20,0,0
Jennee Easson,12/3/1991,195-29-4957,16404,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,32,0,0
Jennie Fosse,1/24/2012,152-75-8293,20222,,HS-grad,9,Divorced,,Not-in-family,White,Male,45,United-States,>50K,11,0,0
Malory Mattheeuw,2/19/1978,590-10-5213,98926,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,45,0,0
Ode Phetteplace,1/4/1958,203-40-5328,90600,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,65,0,0
Rodina Lawlings,4/21/1983,103-24-4654,63643,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,40,0,1816
Bab Girardengo,11/23/1964,716-03-5305,61919,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,59,0,0
Sonya Deek,4/9/1993,179-93-7906,46532,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,30,0,0
Corabel Ertelt,3/5/2011,249-87-6079,91611,,1st-4th,2,Divorced,,Not-in-family,White,Female,20,United-States,<=50K,12,0,0
Sharona Le Franc,8/7/1980,873-96-7454,43712,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,43,0,0
Stefanie Hazard,2/28/2003,674-87-2050,29078,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,20,0,0
Felicia Duff,8/7/1991,307-21-9664,57141,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,32,0,0
Kaleena Volet,7/10/1959,486-68-9387,75301,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,64,0,0
Amata Phythian,11/12/2004,257-65-8601,96933,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,19,0,0
Faustine Harris,8/13/1983,470-53-4203,83031,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,40,0,0
Mabel Lounds,2/5/1970,811-60-1489,62947,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,53,0,0
Arther Lethem,5/13/1962,715-83-7452,79860,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,61,0,0
Natalya Underdown,12/31/1955,404-58-9947,92315,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,68,0,0
Fraze Bartholomaus,2/1/2006,838-71-2031,36799,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,17,0,1980
